Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
77500,802500,4.64
137500,562500,16.92
127500,662500,8.28
332500,217500,18.78
602500,122500,7.11
407500,177500,13.29
72500,842500,4.44
327500,1022500,8.73
322500,847500,9.86
312500,327500,20.93
87500,892500,4.17
182500,842500,6.09
482500,507500,19.61
382500,837500,13.49
202500,237500,11.37
7500,502500,7.99
382500,632500,9.45
232500,387500,7.76
497500,367500,12.73
347500,987500,6.2
332500,302500,16.23
332500,252500,10.43
7500,902500,14.8
42500,562500,6.31
627500,317500,12.4
342500,852500,10.78
322500,782500,19.8
302500,677500,8.71
137500,877500,4.1
522500,402500,11.99
77500,817500,4.96
397500,482500,31.87
267500,557500,15.2
312500,752500,11.17
517500,217500,12.47
132500,597500,11.34
212500,737500,15.89
307500,212500,20.5
352500,517500,31.6
147500,732500,10.18
542500,267500,9.44
572500,312500,10.75
387500,772500,9.95
357500,297500,13.41
437500,82500,8.06
447500,162500,18.83
82500,812500,4.84
527500,182500,15.22
47500,547500,17.73
387500,197500,14.55
237500,87500,12.26
482500,382500,11.01
552500,102500,9.8
367500,202500,12.62
542500,122500,12.77
227500,942500,6.66
377500,322500,12.23
512500,327500,8.45
262500,327500,8.48
372500,287500,14.44
362500,1032500,7.3
127500,847500,7.07
332500,1007500,10.42
262500,617500,20.09
252500,192500,9.75
142500,737500,7.02
357500,737500,8.87
472500,227500,9.78
327500,487500,13.1
407500,542500,17.52
397500,502500,23.69
502500,437500,15.93
547500,252500,8.51
262500,87500,20.84
472500,462500,13.13
257500,862500,4.18
352500,852500,10.93
207500,727500,14.89
7500,512500,6.33
352500,1002500,8.04
372500,657500,11.47
417500,237500,14.5
242500,927500,10.43
597500,132500,10.39
512500,232500,10.1
367500,372500,12.77
72500,532500,9.69
287500,252500,17.39
132500,852500,6.64
537500,112500,12.54
237500,797500,8.27
467500,502500,21.87
392500,657500,7.8
147500,552500,12.19
327500,607500,26.34
387500,837500,12.36
492500,242500,9.99
327500,617500,26.8
272500,97500,15.52
322500,257500,17.21
202500,892500,4.91
542500,257500,8.97
452500,1202500,9.13
507500,242500,10.83
232500,372500,7.48
277500,287500,13.7
432500,457500,14.55
222500,832500,7.22
382500,302500,11.77
512500,337500,9.67
607500,277500,12.15
437500,237500,14.48
407500,547500,16.51
267500,652500,15.45
317500,352500,14.47
557500,117500,13.14
292500,312500,19.52
367500,492500,18.22
272500,302500,10.84
142500,797500,9.63
217500,767500,13.55
322500,992500,7.67
552500,127500,12.51
172500,697500,9.11
547500,297500,7.21
637500,257500,10.83
442500,402500,14.68
337500,407500,9.19
247500,627500,12.56
282500,642500,14.34
427500,487500,15.29
297500,382500,8.94
532500,302500,7.26
517500,407500,13.04
37500,542500,13.16
252500,77500,15.22
297500,812500,6.95
242500,62500,9.45
282500,92500,13.39
377500,462500,24.71
587500,282500,16.27
352500,822500,13.4
112500,472500,8.7
242500,387500,8.97
127500,582500,19.57
432500,112500,16.64
282500,647500,11.58
117500,567500,11.38
277500,52500,12.72
327500,227500,23.26
252500,812500,6.58
472500,252500,13.22
347500,427500,13.83
217500,552500,10.86
397500,77500,9.73
142500,927500,3.91
137500,32500,7.34
347500,242500,9.83
602500,302500,13.94
492500,507500,14.66
557500,252500,9.97
537500,292500,7.53
402500,492500,23.77
152500,672500,11.32
287500,147500,16.75
297500,132500,13.44
62500,862500,4.87
542500,282500,8.43
602500,262500,10.42
107500,907500,5.53
337500,402500,9.38
602500,317500,10.71
457500,502500,22.34
292500,827500,4.63
312500,797500,10.39
547500,362500,9.62
212500,532500,10.16
447500,127500,15.14
322500,1017500,8.4
437500,287500,13.22
447500,122500,17.44
537500,197500,14.62
282500,302500,13.27
322500,172500,9.43
402500,422500,28.56
267500,227500,12.27
367500,327500,10.95
287500,242500,14.15
307500,337500,23.95
547500,287500,8.9
427500,387500,25.54
252500,702500,16
487500,367500,12.47
247500,372500,7.96
287500,362500,16.93
342500,702500,6.87
252500,87500,15.92
412500,462500,21.87
517500,202500,12.28
337500,412500,7.87
22500,557500,10.5
322500,652500,17.23
387500,122500,14.86
432500,147500,13.53
262500,897500,5.32
442500,547500,10.12
397500,157500,12.47
297500,177500,10.35
437500,272500,13.51
82500,562500,21.37
102500,517500,8.4
362500,827500,12.07
487500,227500,9.53
637500,252500,11.65
422500,242500,11.38
237500,907500,5.97
192500,907500,3.22
237500,202500,9.16
382500,307500,12.75
222500,82500,17.42
382500,172500,12.97
147500,862500,6.5
587500,177500,8.82
72500,947500,8.17
272500,682500,14.92
237500,757500,14.78
457500,1142500,10.23
337500,637500,17.16
402500,112500,12.16
217500,472500,7.64
417500,112500,16.52
457500,87500,11.65
587500,147500,9.44
272500,662500,9.78
262500,602500,27.97
197500,707500,16
287500,822500,5.73
407500,342500,19.03
467500,192500,14.04
107500,512500,8.76
312500,92500,12.5
242500,882500,6.28
502500,382500,12.16
