Easting,Northing,NO2_NO3,NH3_NH4,SO2_SO4_NM
492500,457500,0.66,2.45,0.49
497500,217500,0.79,1.59,0.29
527500,127500,0.63,1.08,0.28
562500,132500,0.7,1.03,0.31
22500,532500,0.23,0.71,0.15
517500,277500,0.66,1.3,0.26
437500,357500,0.85,2.26,0.56
182500,47500,0.49,1.49,0.28
142500,657500,0.37,0.61,0.23
292500,922500,0.3,0.3,0.17
502500,382500,0.67,1.75,0.36
317500,332500,0.74,1.58,0.44
102500,922500,0.3,0.28,0.22
297500,217500,0.95,1.3,0.59
202500,67500,0.53,1.6,0.31
262500,562500,0.47,1.14,0.32
297500,282500,0.63,1.49,0.39
377500,792500,0.73,1.11,0.42
447500,272500,0.67,1.72,0.27
552500,227500,0.75,1.34,0.29
222500,742500,0.6,0.72,0.44
322500,587500,0.43,1.12,0.27
517500,392500,0.78,1.59,0.39
457500,382500,0.69,1.58,0.49
587500,192500,0.69,1.2,0.33
372500,767500,0.48,1.23,0.28
597500,192500,0.66,0.85,0.28
227500,722500,0.69,0.87,0.49
237500,667500,0.48,1.5,0.36
52500,577500,0.21,1.11,0.14
462500,417500,0.56,1.53,0.44
227500,667500,0.46,0.81,0.32
537500,122500,0.64,1.22,0.32
212500,662500,0.28,0.62,0.2
362500,282500,0.61,1.92,0.3
207500,92500,0.39,0.58,0.21
257500,812500,0.49,0.37,0.29
252500,372500,0.37,1.55,0.23
112500,587500,0.27,2.13,0.17
487500,102500,0.52,1.2,0.25
522500,277500,0.66,1.43,0.25
287500,787500,0.59,0.47,0.34
577500,212500,0.68,1.38,0.29
467500,367500,0.72,1.94,0.45
477500,412500,0.58,1.64,0.42
267500,42500,0.4,0.98,0.19
367500,667500,0.66,0.93,0.38
477500,472500,0.57,1.95,0.41
322500,1002500,0.37,0.56,0.21
512500,242500,0.65,1.14,0.25
102500,552500,0.35,2.71,0.25
267500,257500,0.48,1.21,0.31
317500,492500,0.55,1.02,0.39
237500,557500,0.35,1.31,0.22
367500,802500,0.6,0.93,0.33
327500,152500,0.39,0.69,0.19
452500,82500,0.5,1.02,0.23
527500,242500,0.62,1.37,0.23
532500,232500,0.77,1.8,0.28
152500,867500,0.24,0.21,0.17
337500,647500,0.67,1.01,0.39
222500,62500,0.57,1.68,0.32
407500,202500,0.6,1.41,0.26
222500,672500,0.37,0.71,0.26
247500,57500,0.54,1.32,0.26
242500,217500,0.44,1.79,0.28
367500,182500,0.58,1.7,0.3
562500,147500,0.61,1.16,0.26
367500,127500,0.51,2.26,0.22
277500,922500,0.31,0.3,0.18
167500,507500,0.33,1.44,0.17
72500,577500,0.33,1.05,0.22
257500,762500,0.42,0.39,0.24
302500,837500,0.31,0.32,0.16
447500,122500,0.65,1.27,0.3
632500,157500,0.72,1.14,0.29
422500,397500,1.24,1.85,0.84
392500,647500,0.36,1.22,0.21
247500,822500,0.26,0.23,0.15
202500,782500,0.37,0.38,0.28
202500,812500,0.49,0.46,0.38
252500,132500,0.44,1.12,0.24
392500,212500,0.76,1.46,0.35
397500,142500,0.65,1.76,0.28
337500,317500,0.44,2.06,0.25
322500,942500,0.3,0.35,0.16
87500,537500,0.34,2.72,0.22
222500,87500,0.66,1.86,0.38
342500,107500,0.59,2.33,0.32
272500,562500,0.37,1.53,0.25
307500,762500,0.43,0.55,0.25
317500,827500,0.33,0.51,0.18
257500,772500,0.63,0.55,0.39
392500,622500,0.96,1.29,0.56
142500,852500,0.28,0.34,0.22
392500,337500,0.68,2.65,0.4
422500,202500,0.57,1.57,0.24
217500,207500,0.43,1.09,0.26
312500,367500,0.5,1.54,0.33
597500,227500,0.72,1.32,0.31
282500,787500,0.61,0.48,0.35
607500,227500,0.68,1.37,0.3
232500,682500,0.37,0.8,0.27
252500,617500,0.42,2.01,0.29
302500,682500,0.35,0.78,0.36
252500,77500,0.71,1.52,0.39
147500,937500,0.18,0.21,0.13
307500,197500,0.82,1.53,0.55
307500,712500,0.56,1.12,0.37
137500,502500,0.47,2.78,0.25
67500,527500,0.29,2.51,0.18
67500,542500,0.35,1.37,0.22
227500,477500,0.44,0.64,0.22
257500,382500,0.39,0.75,0.24
42500,532500,0.31,1.27,0.2
352500,867500,0.28,0.56,0.14
297500,367500,0.58,1.67,0.38
342500,402500,0.48,1.42,0.34
607500,162500,0.73,0.96,0.27
117500,507500,0.34,2.88,0.24
472500,317500,0.72,2.01,0.31
412500,622500,0.53,1.04,0.3
547500,252500,0.62,1.24,0.26
472500,242500,0.75,1.52,0.29
382500,347500,0.66,2.33,0.44
562500,172500,0.72,1.11,0.32
352500,337500,0.47,2.79,0.26
357500,152500,0.61,2.24,0.28
352500,302500,0.52,2.06,0.27
157500,607500,0.33,0.58,0.19
237500,852500,0.31,0.26,0.18
82500,517500,0.28,2.37,0.17
462500,367500,0.71,1.28,0.46
242500,702500,0.51,0.68,0.35
302500,337500,0.71,1.47,0.47
307500,667500,0.45,1.36,0.36
267500,852500,0.16,0.4,0.09
317500,352500,0.58,1.49,0.37
377500,372500,0.51,2.22,0.35
452500,467500,0.47,2.63,0.33
472500,422500,0.58,1.51,0.44
502500,222500,0.85,1.46,0.31
272500,282500,0.49,0.87,0.29
447500,167500,0.72,1.42,0.3
352500,517500,0.88,2.19,0.75
142500,702500,0.21,0.29,0.13
312500,842500,0.4,0.45,0.21
332500,777500,1.18,1.17,0.73
217500,57500,0.48,1.44,0.26
387500,302500,0.62,1.7,0.31
497500,197500,0.77,1.27,0.3
517500,447500,0.58,2.33,0.39
92500,872500,0.19,0.15,0.12
542500,297500,0.61,1.37,0.29
482500,297500,0.75,1.51,0.3
582500,217500,0.68,1.25,0.31
107500,907500,0.26,0.24,0.18
282500,672500,0.38,0.98,0.29
32500,547500,0.3,1.74,0.21
107500,902500,0.25,0.21,0.18
342500,982500,0.23,0.33,0.11
67500,497500,0.26,1.35,0.15
287500,717500,0.43,0.97,0.29
167500,522500,0.31,1.55,0.17
262500,217500,0.52,1.29,0.36
337500,447500,0.41,1.94,0.3
347500,337500,0.46,2.02,0.26
432500,97500,0.51,0.85,0.28
497500,392500,0.64,1.94,0.38
382500,602500,0.78,1.16,0.48
12500,522500,0.26,0.75,0.18
117500,927500,0.27,0.27,0.2
142500,647500,0.26,0.44,0.15
432500,552500,0.51,1.42,0.4
372500,532500,0.87,1.42,0.53
267500,302500,0.47,0.8,0.29
447500,357500,0.85,2,0.65
537500,292500,0.59,1.42,0.27
307500,512500,0.45,1.01,0.3
592500,322500,0.68,2.48,0.31
342500,212500,0.56,1.81,0.32
502500,312500,0.71,1.43,0.31
322500,497500,0.66,1.19,0.52
247500,237500,0.53,1.5,0.37
292500,182500,0.54,1.14,0.34
357500,277500,0.63,1.9,0.32
367500,337500,0.5,3.15,0.27
262500,262500,0.44,1.12,0.28
67500,792500,0.21,0.23,0.14
312500,937500,0.34,0.37,0.19
387500,427500,1,1.78,0.74
467500,167500,0.64,1.44,0.27
257500,877500,0.32,0.3,0.18
362500,322500,0.45,2.12,0.24
467500,247500,0.76,1.65,0.3
547500,352500,0.63,1.17,0.28
377500,197500,0.6,1.57,0.27
312500,247500,0.64,1.24,0.36
377500,412500,0.71,1.73,0.57
572500,312500,0.61,1.41,0.28
292500,957500,0.3,0.32,0.18
107500,572500,0.32,2.36,0.21
157500,742500,0.35,0.51,0.29
297500,852500,0.21,0.49,0.1
542500,122500,0.6,1.08,0.29
337500,377500,0.46,1.49,0.4
392500,297500,0.73,1.65,0.4
187500,762500,0.45,0.55,0.38
247500,937500,0.43,0.44,0.28
252500,392500,0.37,0.58,0.23
327500,372500,0.46,1.12,0.43
467500,487500,0.58,1.89,0.39
487500,432500,0.55,2.25,0.4
337500,277500,0.51,1.37,0.27
482500,387500,0.63,1.51,0.4
352500,667500,0.44,1.22,0.26
282500,127500,0.59,1.41,0.29
392500,302500,0.71,1.84,0.37
512500,342500,0.67,2.29,0.31
597500,197500,0.65,1.26,0.26
277500,242500,0.52,0.99,0.33
297500,312500,0.66,1.31,0.42
432500,242500,0.65,1.61,0.27
232500,217500,0.42,1.65,0.27
527500,162500,0.73,1.21,0.27
527500,302500,0.64,1.67,0.38
82500,507500,0.26,2.41,0.15
92500,552500,0.41,1.66,0.27
182500,842500,0.29,0.27,0.22
527500,397500,0.72,1.59,0.41
207500,772500,0.34,0.41,0.3
577500,277500,0.63,1.33,0.26
97500,572500,0.45,1.6,0.29
442500,312500,0.77,2.13,0.46
272500,577500,0.44,1.08,0.3
67500,562500,0.36,1.22,0.23
172500,867500,0.19,0.16,0.12
197500,552500,0.34,0.71,0.16
142500,907500,0.18,0.14,0.12
262500,782500,0.44,0.38,0.26
262500,797500,0.4,0.31,0.22
302500,177500,0.53,1.21,0.32
347500,407500,0.51,1.52,0.37
217500,92500,0.59,1.75,0.33
467500,1212500,0.35,0.42,0.19
272500,302500,0.4,0.78,0.25
127500,472500,0.43,1.33,0.22
457500,187500,0.65,2.06,0.22
312500,372500,0.43,1.62,0.29
132500,547500,0.36,2.3,0.23
247500,727500,0.69,0.86,0.47
332500,577500,0.36,1.3,0.23
407500,307500,0.73,1.87,0.42
402500,92500,0.59,1.19,0.31
232500,657500,0.38,1.22,0.27
117500,522500,0.29,1.59,0.2
297500,787500,0.6,0.5,0.35
127500,557500,0.34,2.5,0.27
27500,537500,0.26,0.8,0.17
297500,767500,0.54,0.51,0.3
607500,142500,0.74,1.42,0.29
467500,182500,0.69,1.1,0.24
142500,857500,0.31,0.32,0.22
327500,647500,0.6,1.24,0.37
392500,342500,0.73,2.26,0.49
592500,277500,0.61,1.53,0.26
342500,607500,0.6,1.1,0.37
347500,382500,0.48,1.04,0.49
477500,107500,0.54,1.21,0.26
347500,477500,0.41,1.12,0.3
